Name:;Data 6/10/2024 15_08_28
Owner:;Hella
Comments:; 
Acquisition Date:;6/3/2024 10:26:00 AM
Scan List:;Scan List A
Instrument:;34980A;Address:;USB0::2391::1287::MY56482360::0::INSTR;Modules:;2;Slot9:;Computed;Slot1:;34925A
Total Channels:;13
Channel;Name;Function;Range;Resolution;AdvSettings;Scale;Gain;Offset;Label;Limit Type;Limit Setting;
1001;temp ref;Temp 4-Wire RTD;None;C;Temp 4-Wire RTD#1#0.016#Auto#0.001#C#0.00385 (DIN)#100#True;False;1;0;C; ;
1002;TEMP AMB;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1004;G In Sol;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1005;G IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1006;G C H;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1007;D Coil P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1008;D IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1009;D Coil S;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1013;G Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1014;D Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1017;V 1;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
1040;SHUNT4;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
9004;TOK4_1ohm;Ch1040 / 1;;;;False;1;0;ADC; ;

Limit Type;Integer Symbol
None;0
Below;1
Above;2
Out of Limits;3
In Limits;4
Stabilize;5
Bitwise equal;6
Bitwise not equal;7
Numeric equal;8
Numeric not equal;9
Totalizer;11
Destabilize;12

Scan  Control:;Start Action:;Immediately;Stop Action:;User Terminated
Scan Order:1001 1002 1004 1005 1006 1007 1008 1009 1013 1014 1017 1040 
Scan;Time;1001 <temp ref> (C);Limit 1001;1002 <TEMP AMB> (C);Limit 1002;1004 <G In Sol> (C);Limit 1004;1005 <G IN P> (C);Limit 1005;1006 <G C H> (C);Limit 1006;1007 <D Coil P> (C);Limit 1007;1008 <D IN P> (C);Limit 1008;1009 <D Coil S> (C);Limit 1009;1013 <G Box> (C);Limit 1013;1014 <D Box> (C);Limit 1014;1017 <V 1> (VDC);Limit 1017;1040 <SHUNT4> (VDC);Limit 1040;9004 <TOK4_1ohm> (ADC);Limit 9004
4339;10.6.2024 16:20:50:907;26.179;0;99.133;0;115.32;0;119.543;0;118.797;0;120.162;0;119.488;0;117.759;0;103.525;0;101.627;0;12.985043;0;0.4022932;0;0.4022932;0
4340;10.6.2024 16:20:51:907;26.175;0;99.201;0;115.298;0;119.594;0;118.829;0;120.194;0;119.521;0;117.737;0;103.484;0;101.515;0;12.984959;0;0.40296109;0;0.40296109;0
4341;10.6.2024 16:20:52:907;26.177;0;99.221;0;115.318;0;119.559;0;118.722;0;120.178;0;119.523;0;117.684;0;103.486;0;101.571;0;12.985127;0;0.40272453;0;0.40272453;0
4342;10.6.2024 16:20:53:907;26.177;0;99.167;0;115.336;0;119.541;0;118.795;0;120.178;0;119.523;0;117.702;0;103.486;0;101.679;0;12.984792;0;0.40416396;0;0.40416396;0
4343;10.6.2024 16:20:54:907;26.175;0;99.183;0;115.243;0;119.557;0;118.647;0;120.158;0;119.539;0;117.664;0;103.484;0;101.695;0;12.984792;0;0.40145478;0;0.40145478;0
4344;10.6.2024 16:20:55:907;26.179;0;99.151;0;115.247;0;119.579;0;118.687;0;120.162;0;119.506;0;117.668;0;103.506;0;101.735;0;12.984876;0;0.40099085;0;0.40099085;0
4345;10.6.2024 16:20:56:907;26.175;0;99.201;0;115.261;0;119.594;0;118.647;0;120.103;0;119.502;0;117.664;0;103.466;0;101.768;0;12.98521;0;0.40271868;0;0.40271868;0
4346;10.6.2024 16:20:57:907;26.177;0;99.294;0;115.282;0;119.577;0;118.704;0;120.051;0;119.541;0;117.648;0;103.486;0;101.661;0;12.985127;0;0.40258075;0;0.40258075;0
4347;10.6.2024 16:20:58:907;26.179;0;99.277;0;115.211;0;119.67;0;118.76;0;120.071;0;119.543;0;117.577;0;103.47;0;101.663;0;12.984876;0;0.4032662;0;0.4032662;0
4348;10.6.2024 16:20:59:908;26.179;0;98.97;0;115.265;0;119.67;0;118.76;0;119.961;0;119.379;0;117.65;0;103.633;0;101.808;0;12.984792;0;0.40301041;0;0.40301041;0
4349;10.6.2024 16:21:00:907;26.179;0;99.169;0;115.229;0;119.579;0;118.742;0;119.998;0;119.579;0;117.613;0;103.506;0;101.591;0;12.985043;0;0.40291846;0;0.40291846;0
4350;10.6.2024 16:21:01:907;26.177;0;99.275;0;115.354;0;119.523;0;118.795;0;120.014;0;119.632;0;117.557;0;103.559;0;101.607;0;12.985043;0;0.39972195;0;0.39972195;0
4351;10.6.2024 16:21:02:907;26.173;0;99.199;0;115.314;0;119.482;0;118.7;0;119.956;0;119.646;0;117.553;0;103.555;0;101.585;0;12.984959;0;0.40275044;0;0.40275044;0
4352;10.6.2024 16:21:03:907;26.179;0;99.241;0;115.302;0;119.506;0;118.76;0;119.98;0;119.634;0;117.559;0;103.561;0;101.645;0;12.985043;0;0.4016997;0;0.4016997;0
4353;10.6.2024 16:21:04:907;26.175;0;99.237;0;115.334;0;119.539;0;118.756;0;119.921;0;119.63;0;117.537;0;103.611;0;101.605;0;12.985043;0;0.40419238;0;0.40419238;0
4354;10.6.2024 16:21:05:907;26.177;0;99.239;0;115.391;0;119.504;0;118.722;0;119.905;0;119.614;0;117.502;0;103.595;0;101.553;0;12.984876;0;0.40201484;0;0.40201484;0
4355;10.6.2024 16:21:06:907;26.177;0;99.257;0;115.354;0;119.523;0;118.74;0;119.905;0;119.65;0;117.539;0;103.649;0;101.517;0;12.98521;0;0.40334143;0;0.40334143;0
4356;10.6.2024 16:21:07:907;26.177;0;99.275;0;115.391;0;119.541;0;118.722;0;119.85;0;119.65;0;117.52;0;103.667;0;101.517;0;12.984792;0;0.40246874;0;0.40246874;0
4357;10.6.2024 16:21:08:907;26.177;0;99.257;0;115.318;0;119.504;0;118.722;0;119.941;0;119.686;0;117.502;0;103.631;0;101.535;0;12.984959;0;0.40205664;0;0.40205664;0
4358;10.6.2024 16:21:09:907;26.173;0;99.29;0;115.35;0;119.464;0;118.772;0;119.846;0;119.701;0;117.407;0;103.699;0;101.494;0;12.98521;0;0.40242862;0;0.40242862;0
4359;10.6.2024 16:21:10:907;26.171;0;99.288;0;115.348;0;119.426;0;118.77;0;119.772;0;119.772;0;117.515;0;103.643;0;101.456;0;12.985127;0;0.4027914;0;0.4027914;0
4360;10.6.2024 16:21:11:907;26.175;0;99.219;0;115.407;0;119.466;0;118.702;0;119.794;0;119.703;0;117.446;0;103.629;0;101.587;0;12.985127;0;0.40388811;0;0.40388811;0
4361;10.6.2024 16:21:12:907;26.177;0;99.203;0;115.427;0;119.413;0;118.813;0;119.796;0;119.741;0;117.448;0;103.649;0;101.589;0;12.985043;0;0.40183011;0;0.40183011;0
4362;10.6.2024 16:21:13:908;26.177;0;99.113;0;115.336;0;119.614;0;118.867;0;119.723;0;119.614;0;117.466;0;103.812;0;101.643;0;12.985294;0;0.40221462;0;0.40221462;0
4363;10.6.2024 16:21:14:907;26.175;0;99.31;0;115.407;0;119.43;0;118.774;0;119.739;0;119.757;0;117.409;0;103.647;0;101.677;0;12.98521;0;0.4032687;0;0.4032687;0
4364;10.6.2024 16:21:15:907;26.175;0;99.382;0;115.443;0;119.339;0;118.811;0;119.812;0;119.739;0;117.482;0;103.629;0;101.605;0;12.985043;0;0.40137203;0;0.40137203;0
4365;10.6.2024 16:21:16:907;26.175;0;99.292;0;115.443;0;119.375;0;118.829;0;119.848;0;119.648;0;117.518;0;103.593;0;101.695;0;12.985127;0;0.40177744;0;0.40177744;0
4366;10.6.2024 16:21:17:907;26.177;0;99.312;0;115.427;0;119.341;0;118.795;0;119.796;0;119.65;0;117.448;0;103.649;0;101.643;0;12.984876;0;0.40263091;0;0.40263091;0
4367;10.6.2024 16:21:18:907;26.175;0;99.31;0;115.498;0;119.357;0;118.793;0;119.848;0;119.648;0;117.518;0;103.629;0;101.713;0;12.984959;0;0.40136033;0;0.40136033;0
4368;10.6.2024 16:21:19:907;26.177;0;99.384;0;115.464;0;119.413;0;118.758;0;119.869;0;119.686;0;117.539;0;103.613;0;101.751;0;12.985294;0;0.40364737;0;0.40364737;0
4369;10.6.2024 16:21:20:907;26.175;0;99.364;0;115.407;0;119.393;0;118.738;0;119.939;0;119.666;0;117.5;0;103.629;0;101.713;0;12.985127;0;0.40276883;0;0.40276883;0
4370;10.6.2024 16:21:21:907;26.175;0;99.328;0;115.407;0;119.43;0;118.702;0;119.885;0;119.63;0;117.537;0;103.611;0;101.713;0;12.984876;0;0.40078689;0;0.40078689;0
4371;10.6.2024 16:21:22:907;26.175;0;99.328;0;115.352;0;119.448;0;118.683;0;119.83;0;119.557;0;117.482;0;103.629;0;101.695;0;12.985294;0;0.40272704;0;0.40272704;0
4372;10.6.2024 16:21:23:907;26.171;0;99.306;0;115.367;0;119.371;0;118.661;0;119.844;0;119.608;0;117.46;0;103.553;0;101.746;0;12.985127;0;0.40212685;0;0.40212685;0
4373;10.6.2024 16:21:24:907;26.173;0;99.326;0;115.369;0;119.482;0;118.718;0;119.901;0;119.592;0;117.553;0;103.519;0;101.766;0;12.985127;0;0.40187274;0;0.40187274;0
4374;10.6.2024 16:21:25:907;26.173;0;99.326;0;115.405;0;119.428;0;118.627;0;119.883;0;119.592;0;117.571;0;103.555;0;101.748;0;12.984959;0;0.40374183;0;0.40374183;0
4375;10.6.2024 16:21:26:907;26.179;0;99.332;0;115.338;0;119.47;0;118.615;0;119.961;0;119.506;0;117.577;0;103.506;0;101.79;0;12.984876;0;0.40207837;0;0.40207837;0
4376;10.6.2024 16:21:27:907;26.171;0;99.306;0;115.312;0;119.462;0;118.625;0;120.045;0;119.48;0;117.569;0;103.499;0;101.727;0;12.985461;0;0.40076934;0;0.40076934;0
4377;10.6.2024 16:21:28:907;26.173;0;99.38;0;115.314;0;119.501;0;118.59;0;120.01;0;119.482;0;117.626;0;103.573;0;101.748;0;12.98521;0;0.40352198;0;0.40352198;0
4378;10.6.2024 16:21:29:907;26.173;0;99.398;0;115.223;0;119.519;0;118.518;0;119.956;0;119.519;0;117.608;0;103.573;0;101.802;0;12.985461;0;0.4027705;0;0.4027705;0
4379;10.6.2024 16:21:30:907;26.175;0;99.31;0;115.261;0;119.575;0;118.538;0;119.958;0;119.557;0;117.573;0;103.593;0;101.768;0;12.985294;0;0.40193209;0;0.40193209;0
4380;10.6.2024 16:21:31:907;26.173;0;99.326;0;115.205;0;119.537;0;118.536;0;119.919;0;119.573;0;117.571;0;103.609;0;101.766;0;12.985294;0;0.40319347;0;0.40319347;0
4381;10.6.2024 16:21:32:907;26.171;0;99.306;0;115.221;0;119.535;0;118.625;0;119.935;0;119.535;0;117.551;0;103.643;0;101.673;0;12.985713;0;0.40234837;0;0.40234837;0
4382;10.6.2024 16:21:33:907;26.171;0;99.324;0;115.276;0;119.499;0;118.625;0;119.899;0;119.553;0;117.46;0;103.643;0;101.655;0;12.98521;0;0.40257741;0;0.40257741;0
4383;10.6.2024 16:21:34:907;26.171;0;99.36;0;115.276;0;119.444;0;118.588;0;119.881;0;119.59;0;117.515;0;103.625;0;101.655;0;12.985629;0;0.40202236;0;0.40202236;0
4384;10.6.2024 16:21:35:907;26.173;0;99.344;0;115.314;0;119.464;0;118.59;0;119.846;0;119.61;0;117.462;0;103.663;0;101.675;0;12.985461;0;0.40166627;0;0.40166627;0
4385;10.6.2024 16:21:36:907;26.175;0;99.382;0;115.316;0;119.521;0;118.574;0;119.903;0;119.612;0;117.464;0;103.701;0;101.713;0;12.985545;0;0.40276465;0;0.40276465;0
4386;10.6.2024 16:21:37:907;26.169;0;99.322;0;115.292;0;119.406;0;118.641;0;119.842;0;119.66;0;117.403;0;103.695;0;101.617;0;12.985629;0;0.40324028;0;0.40324028;0
4387;10.6.2024 16:21:38:907;26.173;0;99.326;0;115.278;0;119.428;0;118.681;0;119.865;0;119.664;0;117.425;0;103.754;0;101.567;0;12.985629;0;0.40327874;0;0.40327874;0
4388;10.6.2024 16:21:39:907;26.171;0;99.378;0;115.33;0;119.426;0;118.625;0;119.826;0;119.662;0;117.369;0;103.734;0;101.601;0;12.985378;0;0.40554823;0;0.40554823;0
4389;10.6.2024 16:21:40:907;26.177;0;99.384;0;115.318;0;119.377;0;118.722;0;119.796;0;119.723;0;117.393;0;103.794;0;101.625;0;12.985127;0;0.40175655;0;0.40175655;0
4390;10.6.2024 16:21:41:907;26.175;0;99.328;0;115.389;0;119.43;0;118.683;0;119.757;0;119.794;0;117.318;0;103.719;0;101.659;0;12.985294;0;0.4029962;0;0.4029962;0
4391;10.6.2024 16:21:42:907;26.171;0;99.396;0;115.367;0;119.408;0;118.734;0;119.735;0;119.662;0;117.387;0;103.734;0;101.655;0;12.985378;0;0.40261502;0;0.40261502;0
4392;10.6.2024 16:21:43:907;26.175;0;99.31;0;115.407;0;119.43;0;118.756;0;119.794;0;119.685;0;117.427;0;103.701;0;101.659;0;12.985629;0;0.40242694;0;0.40242694;0
4393;10.6.2024 16:21:44:907;26.173;0;99.38;0;115.387;0;119.355;0;118.772;0;119.737;0;119.701;0;117.371;0;103.663;0;101.675;0;12.985713;0;0.40283821;0;0.40283821;0
4394;10.6.2024 16:21:45:907;26.175;0;99.418;0;115.425;0;119.302;0;118.738;0;119.757;0;119.685;0;117.427;0;103.719;0;101.749;0;12.985796;0;0.40143639;0;0.40143639;0
4395;10.6.2024 16:21:46:908;26.177;0;99.221;0;115.373;0;119.468;0;118.849;0;119.614;0;119.541;0;117.429;0;103.83;0;101.788;0;12.985461;0;0.40262422;0;0.40262422;0
4396;10.6.2024 16:21:47:907;26.169;0;99.358;0;115.456;0;119.278;0;118.714;0;119.842;0;119.606;0;117.476;0;103.659;0;101.653;0;12.985378;0;0.40255149;0;0.40255149;0
4397;10.6.2024 16:21:48:907;26.173;0;99.416;0;115.441;0;119.3;0;118.736;0;119.828;0;119.646;0;117.462;0;103.772;0;101.693;0;12.985461;0;0.40337654;0;0.40337654;0
4398;10.6.2024 16:21:49:907;26.175;0;99.328;0;115.48;0;119.375;0;118.738;0;119.812;0;119.612;0;117.5;0;103.683;0;101.695;0;12.98521;0;0.4023375;0;0.4023375;0
4399;10.6.2024 16:21:50:907;26.175;0;99.31;0;115.462;0;119.411;0;118.683;0;119.757;0;119.612;0;117.537;0;103.737;0;101.731;0;12.985294;0;0.40313329;0;0.40313329;0
4400;10.6.2024 16:21:51:907;26.175;0;99.382;0;115.371;0;119.393;0;118.683;0;119.848;0;119.648;0;117.464;0;103.629;0;101.713;0;12.98521;0;0.40425926;0;0.40425926;0
4401;10.6.2024 16:21:52:907;26.179;0;99.422;0;115.356;0;119.397;0;118.706;0;119.816;0;119.597;0;117.486;0;103.651;0;101.79;0;12.985378;0;0.40329713;0;0.40329713;0
4402;10.6.2024 16:21:53:907;26.171;0;99.486;0;115.385;0;119.371;0;118.661;0;119.863;0;119.626;0;117.533;0;103.643;0;101.818;0;12.985378;0;0.40324697;0;0.40324697;0
4403;10.6.2024 16:21:54:907;26.177;0;99.438;0;115.409;0;119.432;0;118.722;0;119.85;0;119.632;0;117.575;0;103.649;0;101.842;0;12.985378;0;0.40358969;0;0.40358969;0
4404;10.6.2024 16:21:55:907;26.171;0;99.378;0;115.421;0;119.426;0;118.716;0;119.826;0;119.608;0;117.533;0;103.607;0;101.908;0;12.985378;0;0.4011129;0;0.4011129;0
4405;10.6.2024 16:21:56:907;26.173;0;99.416;0;115.387;0;119.446;0;118.627;0;119.937;0;119.537;0;117.498;0;103.591;0;101.946;0;12.985461;0;0.40282066;0;0.40282066;0
4406;10.6.2024 16:21:57:907;26.173;0;99.525;0;115.332;0;119.446;0;118.663;0;119.937;0;119.537;0;117.553;0;103.609;0;101.892;0;12.985378;0;0.40210178;0;0.40210178;0
4407;10.6.2024 16:21:58:907;26.173;0;99.488;0;115.35;0;119.428;0;118.609;0;120.01;0;119.537;0;117.626;0;103.591;0;101.892;0;12.985461;0;0.40213187;0;0.40213187;0
4408;10.6.2024 16:21:59:907;26.175;0;99.545;0;115.298;0;119.448;0;118.556;0;120.012;0;119.539;0;117.628;0;103.575;0;101.876;0;12.985378;0;0.40324028;0;0.40324028;0
4409;10.6.2024 16:22:00:907;26.171;0;99.541;0;115.294;0;119.499;0;118.625;0;120.026;0;119.535;0;117.569;0;103.643;0;101.926;0;12.98521;0;0.40328124;0;0.40328124;0
4410;10.6.2024 16:22:01:907;26.173;0;99.434;0;115.296;0;119.501;0;118.554;0;120.028;0;119.501;0;117.589;0;103.681;0;101.91;0;12.985378;0;0.40266434;0;0.40266434;0
4411;10.6.2024 16:22:02:907;26.175;0;99.49;0;115.316;0;119.521;0;118.556;0;120.049;0;119.557;0;117.646;0;103.701;0;101.912;0;12.985127;0;0.40154088;0;0.40154088;0
4412;10.6.2024 16:22:03:907;26.175;0;99.508;0;115.28;0;119.557;0;118.465;0;120.03;0;119.648;0;117.518;0;103.647;0;101.876;0;12.985378;0;0.40129095;0;0.40129095;0
4413;10.6.2024 16:22:04:907;26.173;0;99.543;0;115.187;0;119.573;0;118.481;0;120.01;0;119.592;0;117.553;0;103.627;0;101.874;0;12.985127;0;0.40157933;0;0.40157933;0
4414;10.6.2024 16:22:05:907;26.171;0;99.468;0;115.221;0;119.553;0;118.534;0;120.008;0;119.59;0;117.533;0;103.697;0;101.926;0;12.985461;0;0.40251722;0;0.40251722;0
4415;10.6.2024 16:22:06:907;26.171;0;99.45;0;115.221;0;119.535;0;118.607;0;119.99;0;119.662;0;117.533;0;103.643;0;101.908;0;12.985378;0;0.40216113;0;0.40216113;0
4416;10.6.2024 16:22:07:907;26.171;0;99.486;0;115.239;0;119.462;0;118.588;0;119.935;0;119.608;0;117.551;0;103.679;0;101.782;0;12.985461;0;0.40254063;0;0.40254063;0
4417;10.6.2024 16:22:08:907;26.171;0;99.45;0;115.239;0;119.499;0;118.698;0;119.99;0;119.644;0;117.515;0;103.752;0;101.854;0;12.985378;0;0.40195884;0;0.40195884;0
4418;10.6.2024 16:22:09:907;26.173;0;99.543;0;115.332;0;119.464;0;118.609;0;119.992;0;119.61;0;117.535;0;103.735;0;101.766;0;12.985294;0;0.40176741;0;0.40176741;0
4419;10.6.2024 16:22:10:907;26.173;0;99.488;0;115.278;0;119.501;0;118.681;0;119.919;0;119.628;0;117.444;0;103.79;0;101.748;0;12.985294;0;0.40172896;0;0.40172896;0
4420;10.6.2024 16:22:11:907;26.169;0;99.448;0;115.31;0;119.515;0;118.641;0;119.915;0;119.642;0;117.494;0;103.786;0;101.78;0;12.985294;0;0.40358969;0;0.40358969;0
4421;10.6.2024 16:22:12:907;26.171;0;99.523;0;115.312;0;119.426;0;118.679;0;119.917;0;119.626;0;117.478;0;103.842;0;101.818;0;12.985294;0;0.40239351;0;0.40239351;0
4422;10.6.2024 16:22:13:909;26.173;0;99.326;0;115.168;0;119.573;0;118.809;0;119.901;0;119.446;0;117.407;0;103.898;0;102.055;0;12.985461;0;0.40227732;0;0.40227732;0
4423;10.6.2024 16:22:14:907;26.171;0;99.505;0;115.385;0;119.389;0;118.734;0;119.917;0;119.699;0;117.424;0;103.896;0;101.637;0;12.985461;0;0.40310319;0;0.40310319;0
4424;10.6.2024 16:22:15:907;26.166;0;99.463;0;115.362;0;119.403;0;118.674;0;119.839;0;119.694;0;117.419;0;103.837;0;101.704;0;12.985713;0;0.40149156;0;0.40149156;0
4425;10.6.2024 16:22:16:907;26.173;0;99.507;0;115.369;0;119.446;0;118.736;0;119.846;0;119.755;0;117.425;0;103.862;0;101.693;0;12.985629;0;0.40195884;0;0.40195884;0
4426;10.6.2024 16:22:17:907;26.173;0;99.452;0;115.35;0;119.373;0;118.754;0;119.828;0;119.792;0;117.389;0;103.808;0;101.802;0;12.98521;0;0.40131351;0;0.40131351;0
4427;10.6.2024 16:22:18:907;26.175;0;99.382;0;115.443;0;119.357;0;118.756;0;119.739;0;119.776;0;117.482;0;103.828;0;101.768;0;12.98521;0;0.40335397;0;0.40335397;0
4428;10.6.2024 16:22:19:907;26.171;0;99.45;0;115.439;0;119.353;0;118.77;0;119.735;0;119.772;0;117.405;0;103.788;0;101.764;0;12.985043;0;0.40284824;0;0.40284824;0
4429;10.6.2024 16:22:20:907;26.173;0;99.525;0;115.423;0;119.319;0;118.772;0;119.883;0;119.755;0;117.498;0;103.735;0;101.766;0;12.985461;0;0.40181088;0;0.40181088;0
4430;10.6.2024 16:22:21:907;26.169;0;99.466;0;115.401;0;119.315;0;118.768;0;119.806;0;119.66;0;117.513;0;103.768;0;101.762;0;12.985043;0;0.40343421;0;0.40343421;0
4431;10.6.2024 16:22:22:907;26.171;0;99.505;0;115.494;0;119.353;0;118.698;0;119.863;0;119.662;0;117.478;0;103.842;0;101.8;0;12.985461;0;0.40055618;0;0.40055618;0
4432;10.6.2024 16:22:23:908;26.173;0;99.326;0;115.46;0;119.464;0;118.791;0;119.664;0;119.555;0;117.553;0;103.934;0;101.874;0;12.985378;0;0.40206583;0;0.40206583;0
4433;10.6.2024 16:22:24:907;26.171;0;99.486;0;115.403;0;119.389;0;118.679;0;119.863;0;119.681;0;117.496;0;103.806;0;101.818;0;12.985378;0;0.40257657;0;0.40257657;0
4434;10.6.2024 16:22:25:907;26.169;0;99.557;0;115.419;0;119.424;0;118.75;0;119.952;0;119.697;0;117.458;0;103.768;0;101.816;0;12.985378;0;0.40302128;0;0.40302128;0
4435;10.6.2024 16:22:26:907;26.169;0;99.575;0;115.383;0;119.424;0;118.677;0;119.915;0;119.66;0;117.494;0;103.75;0;101.852;0;12.98521;0;0.40114048;0;0.40114048;0
4436;10.6.2024 16:22:27:907;26.171;0;99.559;0;115.403;0;119.389;0;118.789;0;119.935;0;119.699;0;117.515;0;103.715;0;101.818;0;12.98521;0;0.40248797;0;0.40248797;0
4437;10.6.2024 16:22:28:908;26.169;0;99.376;0;115.419;0;119.588;0;118.768;0;119.806;0;119.551;0;117.567;0;103.912;0;102.015;0;12.985294;0;0.40299787;0;0.40299787;0
4438;10.6.2024 16:22:29:907;26.171;0;99.523;0;115.385;0;119.426;0;118.661;0;119.917;0;119.717;0;117.533;0;103.679;0;101.872;0;12.985461;0;0.4027053;0;0.4027053;0
4439;10.6.2024 16:22:30:907;26.171;0;99.541;0;115.367;0;119.389;0;118.643;0;119.935;0;119.662;0;117.569;0;103.697;0;101.89;0;12.985378;0;0.40134695;0;0.40134695;0
4440;10.6.2024 16:22:31:907;26.173;0;99.561;0;115.369;0;119.373;0;118.663;0;119.992;0;119.646;0;117.608;0;103.681;0;101.946;0;12.985378;0;0.40316254;0;0.40316254;0
4441;10.6.2024 16:22:32:907;26.171;0;99.559;0;115.348;0;119.389;0;118.661;0;119.972;0;119.626;0;117.587;0;103.697;0;101.89;0;12.985629;0;0.40124999;0;0.40124999;0
4442;10.6.2024 16:22:33:908;26.169;0;99.322;0;115.365;0;119.569;0;118.768;0;119.824;0;119.551;0;117.64;0;103.894;0;102.033;0;12.98521;0;0.40308397;0;0.40308397;0
4443;10.6.2024 16:22:34:907;26.173;0;99.452;0;115.332;0;119.446;0;118.645;0;120.01;0;119.592;0;117.662;0;103.717;0;102.001;0;12.985294;0;0.40226812;0;0.40226812;0
4444;10.6.2024 16:22:35:907;26.173;0;99.543;0;115.35;0;119.501;0;118.627;0;120.047;0;119.519;0;117.608;0;103.627;0;101.946;0;12.985294;0;0.40252725;0;0.40252725;0
4445;10.6.2024 16:22:36:907;26.166;0;99.554;0;115.253;0;119.494;0;118.602;0;120.003;0;119.566;0;117.655;0;103.638;0;101.831;0;12.985378;0;0.402987;0;0.402987;0
4446;10.6.2024 16:22:37:907;26.171;0;99.631;0;115.257;0;119.535;0;118.57;0;119.99;0;119.608;0;117.624;0;103.715;0;101.89;0;12.985378;0;0.40262088;0;0.40262088;0
4447;10.6.2024 16:22:38:907;26.171;0;99.577;0;115.312;0;119.553;0;118.625;0;120.099;0;119.499;0;117.642;0;103.715;0;101.908;0;12.985294;0;0.40268691;0;0.40268691;0
4448;10.6.2024 16:22:39:907;26.171;0;99.559;0;115.257;0;119.553;0;118.643;0;120.081;0;119.59;0;117.606;0;103.715;0;101.908;0;12.986047;0;0.3945861;0;0.3945861;0
4449;10.6.2024 16:22:40:907;26.175;0;99.581;0;115.243;0;119.539;0;118.592;0;120.103;0;119.575;0;117.591;0;103.792;0;101.966;0;12.985796;0;0.39321187;0;0.39321187;0
4450;10.6.2024 16:22:41:907;26.169;0;99.557;0;115.219;0;119.588;0;118.532;0;120.024;0;119.606;0;117.549;0;103.714;0;101.906;0;12.985461;0;0.39468391;0;0.39468391;0
4451;10.6.2024 16:22:42:907;26.173;0;99.579;0;115.278;0;119.592;0;118.481;0;119.956;0;119.61;0;117.589;0;103.735;0;101.928;0;12.985964;0;0.38242528;0;0.38242528;0
4452;10.6.2024 16:22:43:907;26.171;0;99.577;0;115.239;0;119.553;0;118.479;0;119.899;0;119.644;0;117.569;0;103.734;0;101.999;0;12.986131;0;0.38154423;0;0.38154423;0
4453;10.6.2024 16:22:44:907;26.171;0;99.486;0;115.458;0;119.353;0;118.643;0;119.753;0;119.717;0;117.387;0;103.788;0;101.962;0;12.986131;0;0.38638665;0;0.38638665;0
4454;10.6.2024 16:22:45:907;26.169;0;99.611;0;115.274;0;119.533;0;118.404;0;119.77;0;119.679;0;117.476;0;103.768;0;101.997;0;12.986047;0;0.3815342;0;0.3815342;0
4455;10.6.2024 16:22:46:907;26.171;0;99.541;0;115.257;0;119.535;0;118.406;0;119.735;0;119.608;0;117.46;0;103.734;0;101.944;0;12.986298;0;0.38232246;0;0.38232246;0
4456;10.6.2024 16:22:47:907;26.169;0;99.575;0;115.292;0;119.497;0;118.441;0;119.697;0;119.679;0;117.44;0;103.804;0;101.997;0;12.986215;0;0.38154925;0;0.38154925;0
4457;10.6.2024 16:22:48:907;26.171;0;99.631;0;115.294;0;119.517;0;118.297;0;119.717;0;119.644;0;117.387;0;103.77;0;101.962;0;12.986131;0;0.38435372;0;0.38435372;0
4458;10.6.2024 16:22:49:907;26.171;0;99.559;0;115.294;0;119.517;0;118.315;0;119.662;0;119.662;0;117.424;0;103.824;0;101.89;0;12.986215;0;0.38609492;0;0.38609492;0
4459;10.6.2024 16:22:50:907;26.173;0;99.651;0;115.314;0;119.555;0;118.245;0;119.701;0;119.61;0;117.389;0;103.844;0;101.928;0;12.986131;0;0.38232664;0;0.38232664;0
4460;10.6.2024 16:22:51:909;26.166;0;99.482;0;115.089;0;119.694;0;118.401;0;119.639;0;119.384;0;117.237;0;103.964;0;102.12;0;12.986047;0;0.3807125;0;0.3807125;0
4461;10.6.2024 16:22:52:907;26.166;0;99.644;0;115.289;0;119.475;0;118.238;0;119.603;0;119.657;0;117.328;0;103.855;0;101.903;0;12.986131;0;0.38241191;0;0.38241191;0
